operation,config,items,bits,kernel_s,e2e_s,noise,kernel_ops_s,e2e_ops_s,speedup
ADDMOD,"baseline (fixed)",65536,256,0.000785808,0.001309590,0.5262,83399507.266,50043143.274,1.0000
ADDMOD,"opt (no flags)",65536,256,0.001053751,0.001278629,0.1544,62193060.791,51254898.801,0.7457
ADDMOD,"only mul_hi",65536,256,0.000685628,0.001195759,0.6467,95585361.168,54807030.514,1.1461
ADDMOD,"only reg accum",65536,256,0.000764553,0.001451673,0.1494,85718060.088,45145153.212,1.0278
ADDMOD,"only fused CIOS",65536,256,0.000512015,0.001168245,0.3149,127996250.103,56097821.945,1.5347
ADDMOD,"only unroll",65536,256,0.000498780,0.001055143,0.1342,131392597.957,62111012.439,1.5755
ADDMOD,"only interleaved",65536,256,0.000711722,0.001317496,0.7758,92080896.754,49742845.521,1.1041
ADDMOD,"cios+reg",65536,256,0.000650877,0.001324807,0.0629,100688763.008,49468337.654,1.2073
ADDMOD,"cios+reg+unroll",65536,256,0.000589311,0.001268794,0.7330,111207834.234,51652198.860,1.3334
ADDMOD,"all but mul_hi",65536,256,0.000830050,0.001390322,0.6680,78954279.864,47137281.866,0.9467
ADDMOD,"all incl. mul_hi",65536,256,0.000725652,0.001274914,0.4131,90313263.117,51404251.582,1.0829
MULTIPLYOPERANDSCANNING,"baseline (fixed)",65536,256,0.001754284,0.002598984,0.1227,37357691.230,25216007.486,1.0000
MULTIPLYOPERANDSCANNING,"opt (no flags)",65536,256,0.001886698,0.002680687,0.7111,34735818.875,24447464.400,0.9298
MULTIPLYOPERANDSCANNING,"only mul_hi",65536,256,0.004322126,0.004999417,0.1639,15162908.254,13108728.478,0.4059
MULTIPLYOPERANDSCANNING,"only reg accum",65536,256,0.001853677,0.002709877,0.8067,35354595.218,24184123.487,0.9464
MULTIPLYOPERANDSCANNING,"only fused CIOS",65536,256,0.001644211,0.002408962,0.1147,39858631.283,27205078.370,1.0669
MULTIPLYOPERANDSCANNING,"only unroll",65536,256,0.001645611,0.002345725,0.1407,39824721.637,27938483.838,1.0660
MULTIPLYOPERANDSCANNING,"only interleaved",65536,256,0.004564417,0.005278618,0.0230,14358022.065,12415370.841,0.3843
MULTIPLYOPERANDSCANNING,"cios+reg",65536,256,0.002007246,0.002917456,0.1886,32649710.101,22463406.475,0.8740
MULTIPLYOPERANDSCANNING,"cios+reg+unroll",65536,256,0.001347200,0.002074457,0.2276,48646080.758,31591881.634,1.3022
MULTIPLYOPERANDSCANNING,"all but mul_hi",65536,256,0.002705403,0.003615423,0.1622,24224117.442,18126786.271,0.6484
MULTIPLYOPERANDSCANNING,"all incl. mul_hi",65536,256,0.004170622,0.004927087,0.2133,15713723.277,13301165.577,0.4206
MULTIPLYPRODUCTSCANNING,"baseline (fixed)",65536,256,0.001952522,0.002636733,0.0510,33564794.660,24855000.487,1.0000
MULTIPLYPRODUCTSCANNING,"opt (no flags)",65536,256,0.002562498,0.002683201,0.4610,25575044.352,24424558.578,0.7620
MULTIPLYPRODUCTSCANNING,"only mul_hi",65536,256,0.005985666,0.006808332,0.1147,10948823.406,9625852.558,0.3262
MULTIPLYPRODUCTSCANNING,"only reg accum",65536,256,0.001686131,0.002471011,0.1440,38867679.915,26521937.782,1.1580
MULTIPLYPRODUCTSCANNING,"only fused CIOS",65536,256,0.001719444,0.002712818,1.0930,38114646.364,24157905.174,1.1356
MULTIPLYPRODUCTSCANNING,"only unroll",65536,256,0.002067932,0.002831664,0.1096,31691564.325,23143988.834,0.9442
MULTIPLYPRODUCTSCANNING,"only interleaved",65536,256,0.002905978,0.003726320,0.1007,22552132.191,17587324.760,0.6719
MULTIPLYPRODUCTSCANNING,"cios+reg",65536,256,0.001744732,0.002547936,0.7502,37562215.859,25721211.207,1.1191
MULTIPLYPRODUCTSCANNING,"cios+reg+unroll",65536,256,0.002302385,0.003264986,0.6259,28464396.702,20072367.845,0.8480
MULTIPLYPRODUCTSCANNING,"all but mul_hi",65536,256,0.002851198,0.004089461,0.3204,22985425.775,16025583.812,0.6848
MULTIPLYPRODUCTSCANNING,"all incl. mul_hi",65536,256,0.007286700,0.007714551,0.7028,8993920.430,8495115.270,0.2680
MONTGOMERYMULTIPLICATION,"baseline (fixed)",65536,256,0.007561375,0.008517499,0.1528,8667206.692,7694277.393,1.0000
MONTGOMERYMULTIPLICATION,"opt (no flags)",65536,256,0.007716140,0.007497153,0.1063,8493365.854,8741451.588,0.9799
MONTGOMERYMULTIPLICATION,"only mul_hi",65536,256,0.014194237,0.014825722,0.0252,4617085.089,4420425.528,0.5327
MONTGOMERYMULTIPLICATION,"only reg accum",65536,256,0.007517779,0.008448722,0.1445,8717468.284,7756912.821,1.0058
MONTGOMERYMULTIPLICATION,"only fused CIOS",65536,256,0.003441647,0.004067819,0.0988,19042045.858,16110844.657,2.1970
MONTGOMERYMULTIPLICATION,"only unroll",65536,256,0.003453084,0.004190757,0.5226,18978976.474,15638224.788,2.1897
MONTGOMERYMULTIPLICATION,"only interleaved",65536,256,0.007054652,0.007886560,0.1467,9289756.603,8309833.438,1.0718
