kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,ADD,150000,0.001867299,80329931.212,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,ADD,150000,0.002197517,68258857.773,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,ADD,150000,0.004895016,30643413.639,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,150000,0.001189908,126060164.646,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,SUBTRACT,150000,0.001330605,112730674.333,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,SUBTRACT,150000,0.003523177,42575209.798,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,ADDMOD,150000,0.003965175,37829351.678,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,ADDMOD,150000,0.002496101,60093722.379,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,ADDMOD,150000,0.005232690,28665944.342,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,150000,0.003340540,44902920.047,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,SUBTRACTMOD,150000,0.002365180,63420120.239,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,SUBTRACTMOD,150000,0.004637359,32345996.926,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,150000,0.001677853,89399965.468,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,150000,0.086669299,1730716.664,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,150000,0.091744623,1634973.202,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,150000,0.001645496,91157924.493,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,150000,0.011720365,12798236.232,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,150000,0.016280518,9213466.058,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,150000,0.014210056,10555904.925,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,150000,0.207819815,721779.105,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,150000,0.212325985,706460.870,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,COMPARE,150000,0.001623210,92409484.771,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,COMPARE,150000,0.001393018,107679872.097,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,COMPARE,150000,0.003373699,44461583.551,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,REDUCE,18750,0.000226362,82831925.113,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,REDUCE,18750,0.041927481,447200.727,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,REDUCE,18750,0.042835182,437724.299,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MODMUL,9375,0.000455734,20571210.406,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MODMUL,15000,0.105503903,142174.835,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MODMUL,15000,0.108323056,138474.675,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MODEXP,2343,0.014085848,166337.163,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MODEXP,15000,4.019905329,3731.431,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MODEXP,15000,4.016454878,3734.637,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,EXPONENTIATION,2343,0.004738916,494416.869,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,EXPONENTIATION,15000,1.042721131,14385.438,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,EXPONENTIATION,15000,1.040436017,14417.033,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,DIVIDE,18750,0.000373193,50242099.308,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,DIVIDE,18750,0.079695606,235270.185,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,DIVIDE,18750,0.081386760,230381.453,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,ISQRT,4687,0.000355214,13194862.928,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,ISQRT,15000,0.568279892,26395.444,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,ISQRT,15000,0.568695017,26376.176,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,secp256k1,256,MODMUL_R2,150000,0.007257648,20667852.763,0
opencl-kernel,Intel(R) Graphics,GPU,w8,secp256k1,256,MODMUL_R2,150000,0.172555143,869287.333,0
opencl-e2e,Intel(R) Graphics,GPU,w8,secp256k1,256,MODMUL_R2,150000,0.177123263,846867.867,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,rsa256(composite),256,ADD,150000,0.001741165,86149215.978,0
opencl-kernel,Intel(R) Graphics,GPU,w8,rsa256(composite),256,ADD,150000,0.001613969,92938587.326,0
opencl-e2e,Intel(R) Graphics,GPU,w8,rsa256(composite),256,ADD,150000,0.003732105,40191795.360,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACT,150000,0.001140394,131533485.792,0
opencl-kernel,Intel(R) Graphics,GPU,w8,rsa256(composite),256,SUBTRACT,150000,0.001312546,114281709.379,0
opencl-e2e,Intel(R) Graphics,GPU,w8,rsa256(composite),256,SUBTRACT,150000,0.003295551,45515909.231,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,rsa256(composite),256,ADDMOD,150000,0.003659673,40987268.467,0
opencl-kernel,Intel(R) Graphics,GPU,w8,rsa256(composite),256,ADDMOD,150000,0.001894259,79186637.877,0
opencl-e2e,Intel(R) Graphics,GPU,w8,rsa256(composite),256,ADDMOD,150000,0.003891942,38541170.410,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACTMOD,150000,0.003336436,44958152.968,0
opencl-kernel,Intel(R) Graphics,GPU,w8,rsa256(composite),256,SUBTRACTMOD,150000,0.002000643,74975895.302,0
opencl-e2e,Intel(R) Graphics,GPU,w8,rsa256(composite),256,SUBTRACTMOD,150000,0.004176840,35912316.389,0
library,Intel(R) Core(TM) Ultra 7 265U,host-cpu,gmp-1t,rsa256(composite),256,MULTIPLYOPERANDSCANNING,150000,0.001679377,89318837.216,0
opencl-kernel,Intel(R) Graphics,GPU,w8,rsa256(composite),256,MULTIPLYOPERANDSCANNING,150000,0.086737682,1729352.186,0
