kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 7532 32-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.001198843,41706891.021,0
library,NVIDIA A100-SXM4-40GB,gpu,cgbn,secp256k1,256,ADD,50000,0.000011264,4438920454.545,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w8,secp256k1,256,ADD,50000,0.000053429,935828742.254,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w8,secp256k1,256,ADD,50000,0.000706230,70798435.994,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w16,secp256k1,256,ADD,50000,0.000029199,1712397652.462,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w16,secp256k1,256,ADD,50000,0.000576022,86802227.974,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32,secp256k1,256,ADD,50000,0.000021040,2376428798.442,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w32,secp256k1,256,ADD,50000,0.000568652,87927229.192,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.000024610,2031678001.892,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.000582532,85832190.814,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.000022319,2240229134.154,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.000824378,60651797.792,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32-il,secp256k1,256,ADD,50000,0.000017630,2836085113.576,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w32-il,secp256k1,256,ADD,50000,0.000684190,73079107.349,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32-il64,secp256k1,256,ADD,50000,0.000016240,3078829602.867,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w32-il64,secp256k1,256,ADD,50000,0.000661420,75594912.661,0
library,AMD EPYC 7532 32-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000932676,53609170.271,0
library,NVIDIA A100-SXM4-40GB,gpu,cgbn,secp256k1,256,SUBTRACT,50000,0.000010240,4882812500.000,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000053120,941259543.283,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000604351,82733371.448,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000029439,1698447972.920,0
opencl-e2e,NVIDIA A100-SXM4-40GB,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000567032,88178441.182,0
opencl-kernel,NVIDIA A100-SXM4-40GB,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000020689,2416704532.973,0
