kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Eng Sample: 100-000000020-02_30/20_N,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000956858,52254380.593,0
library,NVIDIA A40,gpu,cgbn,secp256k1,256,ADD,50000,0.000025600,1953125000.000,0
opencl-kernel,NVIDIA A40,GPU,w8,secp256k1,256,ADD,50000,0.000047810,1045798098.800,0
opencl-e2e,NVIDIA A40,GPU,w8,secp256k1,256,ADD,50000,0.000606262,82472577.342,0
opencl-kernel,NVIDIA A40,GPU,w16,secp256k1,256,ADD,50000,0.000029576,1690559284.567,0
opencl-e2e,NVIDIA A40,GPU,w16,secp256k1,256,ADD,50000,0.000601484,83127798.612,0
opencl-kernel,NVIDIA A40,GPU,w32,secp256k1,256,ADD,50000,0.000019256,2596589823.950,0
opencl-e2e,NVIDIA A40,GPU,w32,secp256k1,256,ADD,50000,0.000575172,86930550.887,0
opencl-kernel,NVIDIA A40,GPU,w32-opt,secp256k1,256,ADD,50000,0.000019026,2627984296.833,0
opencl-e2e,NVIDIA A40,GPU,w32-opt,secp256k1,256,ADD,50000,0.000596805,83779522.919,0
opencl-kernel,NVIDIA A40,GPU,w32-o64,secp256k1,256,ADD,50000,0.000018986,2633527479.643,0
opencl-e2e,NVIDIA A40,GPU,w32-o64,secp256k1,256,ADD,50000,0.000556297,89880099.578,0
opencl-kernel,NVIDIA A40,GPU,w32-il,secp256k1,256,ADD,50000,0.000012173,4107343829.852,0
opencl-e2e,NVIDIA A40,GPU,w32-il,secp256k1,256,ADD,50000,0.000523113,95581695.176,0
opencl-kernel,NVIDIA A40,GPU,w32-il64,secp256k1,256,ADD,50000,0.000012143,4117739776.039,0
opencl-e2e,NVIDIA A40,GPU,w32-il64,secp256k1,256,ADD,50000,0.000479821,104205501.510,0
opencl-kernel,cpu-haswell-AMD Eng Sample: 100-000000020-02_30/20_N,CPU,w8,secp256k1,256,ADD,50000,0.000742229,67364681.378,0
opencl-e2e,cpu-haswell-AMD Eng Sample: 100-000000020-02_30/20_N,CPU,w8,secp256k1,256,ADD,50000,0.002368077,21114180.933,0
library,AMD Eng Sample: 100-000000020-02_30/20_N,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000765122,65349015.025,0
library,NVIDIA A40,gpu,cgbn,secp256k1,256,SUBTRACT,50000,0.000024576,2034505208.333,0
opencl-kernel,NVIDIA A40,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000048632,1028133808.265,0
opencl-e2e,NVIDIA A40,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000548081,91227467.940,0
opencl-kernel,NVIDIA A40,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000028785,1736996609.292,0
opencl-e2e,NVIDIA A40,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000609809,81992939.886,0
opencl-kernel,NVIDIA A40,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000017875,2797222487.365,0
opencl-e2e,NVIDIA A40,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000574460,87038223.669,0
opencl-kernel,NVIDIA A40,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000018827,2655804659.906,0
opencl-e2e,NVIDIA A40,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000547530,91319175.514,0
opencl-kernel,NVIDIA A40,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000018375,2721089265.079,0
opencl-e2e,NVIDIA A40,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000543713,91960341.688,0
opencl-kernel,NVIDIA A40,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000012194,4100442312.686,0
opencl-e2e,NVIDIA A40,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000501993,99602960.236,0
opencl-kernel,NVIDIA A40,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000012083,4138052350.856,0
opencl-e2e,NVIDIA A40,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000514126,97252352.098,0
opencl-kernel,cpu-haswell-AMD Eng Sample: 100-000000020-02_30/20_N,CPU,w8,secp256k1,256,SUBTRACT,50000,0.000685132,72978626.122,0
opencl-e2e,cpu-haswell-AMD Eng Sample: 100-000000020-02_30/20_N,CPU,w8,secp256k1,256,SUBTRACT,50000,0.002438301,20506080.044,0
library,AMD Eng Sample: 100-000000020-02_30/20_N,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.003020577,16553128.029,0
