kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) Platinum 8559C,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000758423,65926243.337,0
library,Intel(R) Xeon(R) Platinum 8559C,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.002601033,19223129.159,0
library,Intel(R) Xeon(R) Platinum 8559C,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.002173063,23009000.307,0
library,NVIDIA B200,gpu,cgbn,secp256k1,256,ADD,50000,0.000009792,5106209150.327,0
opencl-kernel,NVIDIA B200,GPU,w8,secp256k1,256,ADD,50000,0.000024400,2049174501.300,0
opencl-e2e,NVIDIA B200,GPU,w8,secp256k1,256,ADD,50000,0.000428652,116644726.138,0
opencl-kernel,NVIDIA B200,GPU,w16,secp256k1,256,ADD,50000,0.000017443,2866483772.708,0
opencl-e2e,NVIDIA B200,GPU,w16,secp256k1,256,ADD,50000,0.000544663,91799874.664,0
opencl-kernel,NVIDIA B200,GPU,w32,secp256k1,256,ADD,50000,0.000014584,3428403920.943,0
opencl-e2e,NVIDIA B200,GPU,w32,secp256k1,256,ADD,50000,0.000500768,99846644.058,0
opencl-kernel,NVIDIA B200,GPU,w32-opt,secp256k1,256,ADD,50000,0.000013957,3582423301.360,0
opencl-e2e,NVIDIA B200,GPU,w32-opt,secp256k1,256,ADD,50000,0.000629042,79485957.824,0
opencl-kernel,NVIDIA B200,GPU,w32-o64,secp256k1,256,ADD,50000,0.000013699,3649917394.814,0
opencl-e2e,NVIDIA B200,GPU,w32-o64,secp256k1,256,ADD,50000,0.000613162,81544525.758,0
opencl-kernel,NVIDIA B200,GPU,w32-il,secp256k1,256,ADD,50000,0.000012732,3927114482.431,0
opencl-e2e,NVIDIA B200,GPU,w32-il,secp256k1,256,ADD,50000,0.000517545,96609950.068,0
opencl-kernel,NVIDIA B200,GPU,w32-il64,secp256k1,256,ADD,50000,0.000013733,3640851852.229,0
opencl-e2e,NVIDIA B200,GPU,w32-il64,secp256k1,256,ADD,50000,0.000507157,98588787.649,0
