kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) 6787P,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000948051,52739777.665,0
library,NVIDIA B300 SXM6 AC,gpu,cgbn,secp256k1,256,ADD,50000,0.000007808,6403688524.590,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w8,secp256k1,256,ADD,50000,0.000023070,2167320044.709,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w8,secp256k1,256,ADD,50000,0.001228570,40697721.517,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w16,secp256k1,256,ADD,50000,0.000017629,2836234941.096,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w16,secp256k1,256,ADD,50000,0.000972261,51426519.607,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32,secp256k1,256,ADD,50000,0.000014345,3485524046.647,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32,secp256k1,256,ADD,50000,0.000963612,51888104.667,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32-opt,secp256k1,256,ADD,50000,0.000013365,3741114064.344,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32-opt,secp256k1,256,ADD,50000,0.001006137,49695021.771,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32-o64,secp256k1,256,ADD,50000,0.000013415,3727170189.354,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32-o64,secp256k1,256,ADD,50000,0.000968440,51629426.232,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32-il,secp256k1,256,ADD,50000,0.000012428,4023162441.455,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32-il,secp256k1,256,ADD,50000,0.000975740,51243157.686,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32-il64,secp256k1,256,ADD,50000,0.000012754,3920339640.001,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32-il64,secp256k1,256,ADD,50000,0.001003447,49828242.608,0
library,Intel(R) Xeon(R) 6787P,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.001598189,31285420.805,0
library,NVIDIA B300 SXM6 AC,gpu,cgbn,secp256k1,256,SUBTRACT,50000,0.000007616,6565126050.420,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000022949,2178748691.726,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000995782,50211794.799,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000017453,2864839445.037,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000983376,50845251.577,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000013512,3700404761.023,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000955803,52312036.622,0
opencl-kernel,NVIDIA B300 SXM6 AC,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000013688,3652835366.860,0
opencl-e2e,NVIDIA B300 SXM6 AC,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000947217,52786215.257,0
