kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,unknown,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000531981,93988319.012,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,ADD,50000,0.000075231,664619760.867,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,ADD,50000,0.000163503,305804775.699,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,ADD,50000,0.000041632,1200999338.606,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,ADD,50000,0.000127775,391312860.864,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,ADD,50000,0.000025712,1944617503.841,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,ADD,50000,0.000116111,430622430.461,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,ADD,50000,0.000023903,2091787199.090,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,ADD,50000,0.000109535,456475092.266,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,ADD,50000,0.000024128,2072281835.371,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,ADD,50000,0.000109391,457076010.457,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,ADD,50000,0.000010959,4562464595.218,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,ADD,50000,0.000095999,520838762.462,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,ADD,50000,0.000011201,4463892134.084,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,ADD,50000,0.000096833,516352825.671,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000380878,131275630.866,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000075487,662365723.277,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000162975,306795540.537,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000040928,1221657868.056,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000127552,391996975.896,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000025199,1984205830.468,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000116687,428496778.805,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000023952,2087508231.808,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000108960,458884005.474,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000024591,2033263784.136,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000108896,459153696.429,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000010880,4595587662.973,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000096016,520746564.206,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000010720,4664177778.743,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000095393,524147477.674,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.001273417,39264435.724,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,ADDMOD,50000,0.000117087,427032856.775,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,ADDMOD,50000,0.000201678,247919962.861,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,ADDMOD,50000,0.000060928,820640810.902,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,ADDMOD,50000,0.000152079,328776469.224,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,ADDMOD,50000,0.000032000,1562500181.581,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,ADDMOD,50000,0.000129263,386808277.940,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000020480,2441406047.997,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000106543,469294037.189,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000016288,3069744150.422,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000104448,478707101.582,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,ADDMOD,50000,0.000010208,4898115062.104,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,ADDMOD,50000,0.000095648,522750124.268,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000010337,4836988088.756,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000096353,518925260.269,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.000992570,50374280.925,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000116959,427500249.995,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000201631,247977738.185,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000061312,815501151.774,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000152319,328258456.856,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000031888,1567987724.698,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000119151,419635607.549,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000020192,2476227627.877,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000107248,466209187.973,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000016768,2981870710.100,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000104032,480621320.642,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,SUBTRACTMOD,50000,0.000010128,4936807856.423,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,SUBTRACTMOD,50000,0.000097215,514323915.885,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000010336,4837457973.630,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000096242,519523691.247,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000713660,70061373.431,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002772320,18035436.095,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002906495,17202850.816,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000831292,60147336.132,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000917852,54475013.540,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000238767,209409176.811,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000351103,142408349.802,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000048912,1022244044.119,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000159567,313347990.714,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000048768,1025262296.319,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000159951,312595733.109,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000014336,3487724695.837,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000130047,384476372.628,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000013296,3760526036.369,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000131266,380905939.661,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000707820,70639428.137,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000317407,157526456.224,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000427901,116849461.407,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000102816,486305614.099,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000214575,233018769.398,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000052528,951873200.659,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000166991,299417337.511,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000051648,968091843.426,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000168079,297479159.790,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000047791,1046221936.786,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000159632,313220392.954,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000024048,2079174953.860,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000134944,370524071.987,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000025408,1967884654.965,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000142305,351358003.584,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.005506592,9080026.263,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000174239,286962158.941,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000263374,189844104.912,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000046512,1074991501.621,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000132447,377509475.088,0
opencl-kernel,NVIDIA GB10,GPU,w32,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000016464,3036930305.454,0
opencl-e2e,NVIDIA GB10,GPU,w32,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000104431,478785013.413,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000018240,2741226442.346,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000104608,477974917.366,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000016848,2967713208.238,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000103696,482178666.631,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000017920,2790178623.788,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000103792,481732691.392,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000015488,3228306560.672,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000104673,477678154.636,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,COMPARE,50000,0.000351550,142227279.466,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,COMPARE,50000,0.000072848,686360701.835,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,COMPARE,50000,0.000157391,317680177.096,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,COMPARE,50000,0.000039840,1255020058.851,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,COMPARE,50000,0.000128095,390335270.196,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,COMPARE,50000,0.000017295,2891009813.858,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,COMPARE,50000,0.000104400,478927227.847,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,COMPARE,50000,0.000013168,3797084131.913,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,COMPARE,50000,0.000105471,474063956.185,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,COMPARE,50000,0.000009120,5482452884.692,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,COMPARE,50000,0.000094303,530205810.736,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,COMPARE,50000,0.000009184,5444248061.858,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,COMPARE,50000,0.000094737,527776903.625,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,REDUCE,6250,0.000072607,86079855.377,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,REDUCE,33600,0.000165455,203076365.592,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,REDUCE,33600,0.000226639,148253394.397,0
opencl-kernel,NVIDIA GB10,GPU,w16,secp256k1,256,REDUCE,33600,0.000104768,320708619.494,0
opencl-e2e,NVIDIA GB10,GPU,w16,secp256k1,256,REDUCE,33600,0.000167135,201035086.917,0
opencl-kernel,NVIDIA GB10,GPU,w32-opt,secp256k1,256,REDUCE,33600,0.000034543,972700644.723,0
opencl-e2e,NVIDIA GB10,GPU,w32-opt,secp256k1,256,REDUCE,33600,0.000104272,322234169.332,0
opencl-kernel,NVIDIA GB10,GPU,w32-o64,secp256k1,256,REDUCE,33600,0.000035008,959780797.741,0
opencl-e2e,NVIDIA GB10,GPU,w32-o64,secp256k1,256,REDUCE,33600,0.000104143,322633278.200,0
opencl-kernel,NVIDIA GB10,GPU,w32-il,secp256k1,256,REDUCE,33600,0.000034448,975382994.493,0
opencl-e2e,NVIDIA GB10,GPU,w32-il,secp256k1,256,REDUCE,33600,0.000103792,323724368.615,0
opencl-kernel,NVIDIA GB10,GPU,w32-il64,secp256k1,256,REDUCE,33600,0.000042065,798763759.569,0
opencl-e2e,NVIDIA GB10,GPU,w32-il64,secp256k1,256,REDUCE,33600,0.000104673,320999675.289,0
library,unknown,host-cpu,gmp-1t,secp256k1,256,MODMUL,3125,0.000180751,17288977.849,0
opencl-kernel,NVIDIA GB10,GPU,w8,secp256k1,256,MODMUL,33600,0.000491709,68333099.832,0
opencl-e2e,NVIDIA GB10,GPU,w8,secp256k1,256,MODMUL,33600,0.000558093,60205019.484,0
