kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.001447355,34545765.936,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w8,secp256k1,256,ADD,50000,0.000263060,190071059.060,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w8,secp256k1,256,ADD,50000,0.001217220,41077209.445,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w16,secp256k1,256,ADD,50000,0.000112908,442838570.038,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w16,secp256k1,256,ADD,50000,0.001152970,43366266.664,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w32,secp256k1,256,ADD,50000,0.000069456,719878398.455,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w32,secp256k1,256,ADD,50000,0.001063790,47001750.251,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.000070518,709040006.339,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.001051493,47551434.503,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.000069898,715331919.203,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.001086367,46024949.635,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w32-il,secp256k1,256,ADD,50000,0.000046307,1079745207.353,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w32-il,secp256k1,256,ADD,50000,0.001060881,47130651.946,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w32-il64,secp256k1,256,ADD,50000,0.000042874,1166198001.564,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w32-il64,secp256k1,256,ADD,50000,0.001015980,49213577.046,0
opencl-kernel,cpu-haswell-Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,CPU,w8,secp256k1,256,ADD,50000,0.000510816,97882693.388,0
opencl-e2e,cpu-haswell-Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,CPU,w8,secp256k1,256,ADD,50000,0.001563167,31986341.587,0
library,Intel(R) Xeon(R) CPU E5-2697A v4 @ 2.60GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.001061603,47098566.877,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000263393,189830459.380,0
opencl-e2e,NVIDIA GeForce GTX 1060 3GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001323869,37768074.434,0
opencl-kernel,NVIDIA GeForce GTX 1060 3GB,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000113450,440722821.304,0
