kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.001344129,37198811.153,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,ADD,50000,0.000153741,325222322.461,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,ADD,50000,0.001428541,35000744.808,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,ADD,50000,0.000071788,696495489.529,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,ADD,50000,0.001361065,36735936.282,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,ADD,50000,0.000112271,445351233.513,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,ADD,50000,0.001373316,36408228.407,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,ADD,50000,0.000046835,1067576569.312,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,ADD,50000,0.001273895,39249701.705,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,ADD,50000,0.000113119,442012308.104,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,ADD,50000,0.001346392,37136287.894,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,ADD,50000,0.000029053,1720988322.034,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,ADD,50000,0.001280997,39032099.225,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,ADD,50000,0.000028969,1725988601.557,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,ADD,50000,0.001308219,38219899.273,0
opencl-kernel,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,ADD,50000,0.000939620,53212996.658,0
opencl-e2e,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,ADD,50000,0.001529155,32697795.733,0
library,Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.001248737,40040457.447,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000152831,327158830.233,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001440892,34700727.145,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000072459,690045483.260,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,SUBTRACT,50000,0.001341716,37265709.447,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000106895,467748755.038,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,SUBTRACT,50000,0.001356432,36861413.385,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000046740,1069748985.910,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.001265733,39502800.774,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000109226,457766561.364,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.001347740,37099141.980,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000029161,1714619405.887,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.001255058,39838793.077,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000028680,1743370391.297,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.001292171,38694570.358,0
opencl-kernel,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,SUBTRACT,50000,0.001214462,41170494.171,0
opencl-e2e,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,SUBTRACT,50000,0.001911446,26158207.113,0
library,Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.004107464,12172961.258,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,ADDMOD,50000,0.000233463,214166794.869,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,ADDMOD,50000,0.001512533,33057128.818,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,ADDMOD,50000,0.000111867,446959434.714,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,ADDMOD,50000,0.001380547,36217529.586,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,ADDMOD,50000,0.000097954,510443952.471,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,ADDMOD,50000,0.001345519,37160382.629,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000033165,1507614404.409,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.001257465,39762538.497,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000034492,1449611621.282,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.001275434,39202340.804,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,ADDMOD,50000,0.000026759,1868522570.793,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il,secp256k1,256,ADDMOD,50000,0.001283644,38951609.634,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000026803,1865462958.008,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.001292232,38692740.241,0
opencl-kernel,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,ADDMOD,50000,0.001728133,28932959.135,0
opencl-e2e,cpu-sandybridge-Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,CPU,w8,secp256k1,256,ADDMOD,50000,0.002303502,21706081.130,0
library,Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.003108285,16086040.922,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000232592,214968707.725,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.001513328,33039765.380,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000102650,487091942.111,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.001378475,36271967.476,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000102288,488815463.758,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.001367314,36568047.661,0
opencl-kernel,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000031536,1585490636.859,0
opencl-e2e,NVIDIA GeForce GTX 1660 SUPER,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.001253327,39893818.436,0
