kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.001013913,49313919.702,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.000068646,728379840.005,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.000064558,774491411.961,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,ADD,50000,0.000106843,467976316.187,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,ADD,50000,0.001102500,45351473.385,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,ADD,50000,0.000046062,1085493649.624,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,ADD,50000,0.001047012,47754945.062,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,ADD,50000,0.000033718,1482887041.126,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,ADD,50000,0.001051343,47558218.939,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,ADD,50000,0.000029942,1669895595.155,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,ADD,50000,0.001105003,45248745.902,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-o64,secp256k1,256,ADD,50000,0.000032487,1539076921.644,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-o64,secp256k1,256,ADD,50000,0.001029464,48568963.631,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-il,secp256k1,256,ADD,50000,0.000020753,2409289041.718,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-il,secp256k1,256,ADD,50000,0.001234443,40504097.332,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-il64,secp256k1,256,ADD,50000,0.000019551,2557414875.098,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-il64,secp256k1,256,ADD,50000,0.001091567,45805709.323,0
opencl-kernel,cpu-haswell-Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,CPU,w8,secp256k1,256,ADD,50000,0.000390838,127930246.239,0
opencl-e2e,cpu-haswell-Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,CPU,w8,secp256k1,256,ADD,50000,0.001701321,29388928.001,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000819375,61022144.994,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,50000,0.001302937,38374850.924,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,50000,0.000689209,72546899.277,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000107897,463404875.283,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001124965,44445827.288,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000045417,1100909518.646,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,SUBTRACT,50000,0.001049417,47645501.634,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000033243,1504075759.770,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,SUBTRACT,50000,0.001023704,48842242.914,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000029255,1709109802.088,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.001045785,47810974.517,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000032271,1549378862.451,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.001030389,48525362.007,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000021186,2360047199.105,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.001292708,38678494.776,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000019822,2522448817.832,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.001065101,46943904.460,0
opencl-kernel,cpu-haswell-Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,CPU,w8,secp256k1,256,SUBTRACT,50000,0.000261468,191227991.183,0
opencl-e2e,cpu-haswell-Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,CPU,w8,secp256k1,256,SUBTRACT,50000,0.001249585,40013284.102,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.003279674,15245417.762,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,gmp-nt,secp256k1,256,ADDMOD,50000,0.000341735,146312190.896,0
library,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,host-cpu,openssl-nt,secp256k1,256,ADDMOD,50000,0.001807582,27661262.660,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,ADDMOD,50000,0.000159875,312744341.278,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w8,secp256k1,256,ADDMOD,50000,0.001190503,41999053.777,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,ADDMOD,50000,0.000065623,761928020.050,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w16,secp256k1,256,ADDMOD,50000,0.001108229,45117029.644,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,ADDMOD,50000,0.000042587,1174067346.328,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32,secp256k1,256,ADDMOD,50000,0.001091278,45817839.960,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000025752,1941596730.679,0
opencl-e2e,NVIDIA GeForce RTX 2070,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.001053733,47450350.575,0
opencl-kernel,NVIDIA GeForce RTX 2070,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000023935,2088991875.486,0
