kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Ryzen 9 3900X 12-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000683382,73165529.387,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,ADD,50000,0.000044984,1111505213.633,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,ADD,50000,0.000675337,74037118.753,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,ADD,50000,0.000024306,2057114603.470,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,ADD,50000,0.000736071,67928227.011,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,ADD,50000,0.000015289,3270362671.134,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,ADD,50000,0.000692199,72233564.527,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,ADD,50000,0.000016170,3092129082.793,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,ADD,50000,0.000653085,76559732.304,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,ADD,50000,0.000015009,3331343015.373,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,ADD,50000,0.000686287,72855797.618,0
library,AMD Ryzen 9 3900X 12-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000527239,94833663.270,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000045135,1107789741.712,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000672993,74294975.892,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000023885,2093349626.655,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000721213,69327652.178,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000014637,3415969916.966,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000686528,72830249.049,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000016310,3065600274.086,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000657123,76089250.199,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000014898,3356124912.873,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000688923,72577069.932,0
library,AMD Ryzen 9 3900X 12-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.002228520,22436414.071,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,ADDMOD,50000,0.000066034,757185346.281,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,ADDMOD,50000,0.000687610,72715624.988,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,ADDMOD,50000,0.000033142,1508657651.886,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,ADDMOD,50000,0.000728988,68588226.306,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,ADDMOD,50000,0.000016331,3061666711.339,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,ADDMOD,50000,0.000687630,72713507.547,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000012263,4077319956.711,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000651713,76720888.461,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000011591,4313688704.980,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000676379,73923043.993,0
library,AMD Ryzen 9 3900X 12-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.001961149,25495257.585,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000066044,757070563.392,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000686628,72819629.677,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000033874,1476065660.849,0
opencl-e2e,NVIDIA GeForce RTX 3080 Ti,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000737945,67755719.383,0
opencl-kernel,NVIDIA GeForce RTX 3080 Ti,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000016971,2946197898.203,0
