kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 9554 64-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000701555,71270244.488,0
library,AMD EPYC 9554 64-Core Processor,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.005516557,9063624.248,0
library,AMD EPYC 9554 64-Core Processor,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.002845631,17570795.487,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w8,secp256k1,256,ADD,50000,0.000027992,1786235400.586,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w8,secp256k1,256,ADD,50000,0.000352694,141766061.970,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w16,secp256k1,256,ADD,50000,0.000019109,2616585008.285,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w16,secp256k1,256,ADD,50000,0.000325864,153438158.985,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32,secp256k1,256,ADD,50000,0.000012930,3866831691.155,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32,secp256k1,256,ADD,50000,0.000342667,145914211.167,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000012770,3915336289.382,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000333373,149982375.487,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000013001,3845780171.920,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000339122,147439351.880,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-il,secp256k1,256,ADD,50000,0.000009406,5315553584.158,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-il,secp256k1,256,ADD,50000,0.000364812,137056860.873,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-il64,secp256k1,256,ADD,50000,0.000009175,5449359642.712,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-il64,secp256k1,256,ADD,50000,0.000336368,148646880.711,0
