kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,500000,0.007345750,68066569.136,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,ADD,500000,0.000178899,2794872554.793,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,ADD,500000,0.000189369,2640347394.904,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,ADD,500000,0.000040672,12293469708.891,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADD,500000,0.000052209,9576890633.083,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADD,500000,0.002155365,231979274.992,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADD,500000,0.000051100,9784739326.408,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADD,500000,0.002154700,232050866.369,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,ADD,500000,0.000036509,13695249819.840,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,ADD,500000,0.002304058,217008426.181,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,ADD,500000,0.000035930,13915940907.832,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,ADD,500000,0.002281835,219121889.813,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,500000,0.005650650,88485395.307,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,500000,0.000141530,3532819730.640,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,500000,0.000270008,1851796631.946,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,SUBTRACT,500000,0.000041056,12178487918.940,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACT,500000,0.000050939,9815654650.873,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACT,500000,0.002164875,230960218.964,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACT,500000,0.000051600,9689925212.159,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACT,500000,0.002168999,230521084.185,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,SUBTRACT,500000,0.000036780,13594335901.348,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,SUBTRACT,500000,0.002277968,219493860.475,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,SUBTRACT,500000,0.000036060,13865781109.465,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,SUBTRACT,500000,0.002291395,218207687.645,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADDMOD,500000,0.019680530,25405819.854,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,ADDMOD,500000,0.000508216,983833577.614,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,ADDMOD,500000,0.003170079,157724774.562,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,ADDMOD,500000,0.000050816,9839420654.912,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADDMOD,500000,0.000044719,11180938102.168,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADDMOD,500000,0.002141945,233432697.213,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADDMOD,500000,0.000044779,11165953580.997,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADDMOD,500000,0.002155169,232000364.289,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,ADDMOD,500000,0.000030890,16186442464.202,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,ADDMOD,500000,0.002293408,218016154.435,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,ADDMOD,500000,0.000030800,16233765339.986,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,ADDMOD,500000,0.002361125,211763458.268,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,500000,0.015781276,31683116.146,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,SUBTRACTMOD,500000,0.000421927,1185039063.406,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,SUBTRACTMOD,500000,0.005284326,94619445.645,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,SUBTRACTMOD,500000,0.000055072,9079023823.359,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,500000,0.000045760,10926570839.444,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,500000,0.002164584,230991266.420,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,500000,0.000045200,11061933898.325,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,500000,0.002159369,231549123.467,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,SUBTRACTMOD,500000,0.000030610,16334524853.768,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il,secp256k1,256,SUBTRACTMOD,500000,0.002280087,219289880.147,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,500000,0.000030570,16355923197.027,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,500000,0.002302856,217121694.907,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,500000,0.009035420,55337770.907,0
