kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,500000,0.007480179,66843320.034,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,ADD,500000,0.000173129,2888020471.144,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,ADD,500000,0.000190789,2620696211.097,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,ADD,500000,0.000040896,12226134585.290,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,secp256k1,256,ADD,500000,0.000179118,2791455738.029,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,secp256k1,256,ADD,500000,0.002387325,209439436.371,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,secp256k1,256,ADD,500000,0.000090769,5508490509.485,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,secp256k1,256,ADD,500000,0.002305767,216847584.952,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,secp256k1,256,ADD,500000,0.000051879,9637804933.382,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,secp256k1,256,ADD,500000,0.002160447,231433586.582,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADD,500000,0.000052200,9578545892.066,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADD,500000,0.002153168,232215975.586,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADD,500000,0.000051650,9680544765.253,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,ADD,500000,0.002178727,229491807.815,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,500000,0.005657926,88371605.203,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,500000,0.000141889,3523880561.282,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,500000,0.000227699,2195881423.545,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,SUBTRACT,500000,0.000040736,12274155538.099,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,secp256k1,256,SUBTRACT,500000,0.000179379,2787394970.385,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,secp256k1,256,SUBTRACT,500000,0.002398335,208477967.752,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,secp256k1,256,SUBTRACT,500000,0.000093579,5343079037.741,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,secp256k1,256,SUBTRACT,500000,0.002333306,214288223.697,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,secp256k1,256,SUBTRACT,500000,0.000051040,9796244089.136,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,secp256k1,256,SUBTRACT,500000,0.002139917,233653922.883,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACT,500000,0.000051280,9750386604.070,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,SUBTRACT,500000,0.002153627,232166480.905,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACT,500000,0.000051850,9643193068.523,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,secp256k1,256,SUBTRACT,500000,0.002157097,231793002.469,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADDMOD,500000,0.019695044,25387097.420,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,secp256k1,256,ADDMOD,500000,0.000513198,974282886.268,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,secp256k1,256,ADDMOD,500000,0.003079496,162364232.358,0
library,NVIDIA H100 NVL,gpu,cgbn,secp256k1,256,ADDMOD,500000,0.000050400,9920634920.635,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,secp256k1,256,ADDMOD,500000,0.000272988,1831582000.380,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,secp256k1,256,ADDMOD,500000,0.002511324,199098164.023,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,secp256k1,256,ADDMOD,500000,0.000140299,3563816487.361,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,secp256k1,256,ADDMOD,500000,0.002367426,211199843.116,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,secp256k1,256,ADDMOD,500000,0.000061580,8119521967.302,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,secp256k1,256,ADDMOD,500000,0.002166467,230790503.041,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,secp256k1,256,ADDMOD,500000,0.000043930,11381738453.874,0
