kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 7282 16-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000891583,56080025.905,0
opencl-kernel,NVIDIA RTX A2000,GPU,w8,secp256k1,256,ADD,50000,0.000153695,325319133.001,0
opencl-e2e,NVIDIA RTX A2000,GPU,w8,secp256k1,256,ADD,50000,0.000748379,66811053.728,0
opencl-kernel,NVIDIA RTX A2000,GPU,w16,secp256k1,256,ADD,50000,0.000062020,806197215.924,0
opencl-e2e,NVIDIA RTX A2000,GPU,w16,secp256k1,256,ADD,50000,0.000688154,72658128.569,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32,secp256k1,256,ADD,50000,0.000043305,1154610761.753,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32,secp256k1,256,ADD,50000,0.000674074,74175878.063,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-opt,secp256k1,256,ADD,50000,0.000037221,1343319101.236,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-opt,secp256k1,256,ADD,50000,0.000653904,76463831.460,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-o64,secp256k1,256,ADD,50000,0.000039197,1275621716.920,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-o64,secp256k1,256,ADD,50000,0.000658400,75941635.641,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-il,secp256k1,256,ADD,50000,0.000028074,1781020806.794,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-il,secp256k1,256,ADD,50000,0.000650737,76836015.417,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-il64,secp256k1,256,ADD,50000,0.000027384,1825905220.556,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-il64,secp256k1,256,ADD,50000,0.000698077,71625381.494,0
opencl-kernel,cpu-haswell-AMD EPYC 7282 16-Core Processor,CPU,w8,secp256k1,256,ADD,50000,0.000407446,122715595.257,0
opencl-e2e,cpu-haswell-AMD EPYC 7282 16-Core Processor,CPU,w8,secp256k1,256,ADD,50000,0.001751798,28542100.257,0
library,AMD EPYC 7282 16-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000696379,71800007.222,0
opencl-kernel,NVIDIA RTX A2000,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000154188,324279655.468,0
opencl-e2e,NVIDIA RTX A2000,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000771482,64810364.426,0
opencl-kernel,NVIDIA RTX A2000,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000057150,874895560.915,0
opencl-e2e,NVIDIA RTX A2000,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000682062,73307168.352,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000042542,1175312314.193,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000661929,75536786.537,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000037341,1338997161.741,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000663934,75308659.071,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000036920,1354264086.976,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000634726,78774131.222,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000028265,1768990451.086,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-il,secp256k1,256,SUBTRACT,50000,0.000646798,77303894.922,0
opencl-kernel,NVIDIA RTX A2000,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000027253,1834640713.529,0
opencl-e2e,NVIDIA RTX A2000,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000691684,72287348.961,0
