kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.001120454,44624761.560,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,ADD,50000,0.000121977,409912738.601,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,ADD,50000,0.000767019,65187443.725,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,ADD,50000,0.000073064,684330433.896,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,ADD,50000,0.000750879,66588619.600,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,ADD,50000,0.000037922,1318493834.498,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,ADD,50000,0.000716960,69738914.611,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,ADD,50000,0.000041989,1190790584.504,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,ADD,50000,0.000940721,53150720.702,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,ADD,50000,0.000037555,1331376488.239,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,ADD,50000,0.000915758,54599572.912,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000949953,52634183.828,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000119452,418577711.420,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001011599,49426695.406,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000068881,725888700.049,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000754465,66272116.400,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000036913,1354537434.086,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000726396,68832979.566,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000040966,1220521772.342,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000714372,69991530.814,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000037121,1346942087.635,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000939943,53194707.687,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.003490213,14325773.901,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,ADDMOD,50000,0.000167356,298764538.084,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,ADDMOD,50000,0.000814438,61392019.920,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,ADDMOD,50000,0.000095443,523872329.816,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,ADDMOD,50000,0.000765668,65302455.239,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,ADDMOD,50000,0.000047726,1047644987.365,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,ADDMOD,50000,0.000725218,68944777.237,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000049186,1016550682.597,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000865712,57755923.840,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000044045,1135201640.835,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000918023,54464863.061,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.002605613,19189341.743,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000167084,299250390.945,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000945109,52903953.969,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000096102,520280468.559,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000777191,64334248.489,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000047403,1054782115.474,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000739938,67573218.712,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000048301,1035176329.832,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000778814,64200174.769,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000042813,1167865982.891,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000946990,52798869.026,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001168330,42796129.008,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.005446824,9179661.375,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.006549427,7634255.576,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001404742,35593724.385,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002484458,20125113.540,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000612972,81569815.862,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001665446,30021988.537,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000075985,658024791.560,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000887189,56357773.364,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000064038,780786736.523,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001124428,44467048.745,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001362504,36697140.728,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.003032797,16486431.414,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.003880406,12885249.532,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000885439,56469157.166,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001714616,29161050.860,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000207716,240713396.769,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001196271,41796547.997,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000247368,202128093.054,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001050400,47600920.772,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000206676,241924465.819,0
