kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD EPYC 7282 16-Core Processor,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000903907,55315425.200,0
library,Quadro RTX 8000,gpu,cgbn,secp256k1,256,ADD,50000,0.000030464,1641281512.605,0
opencl-kernel,Quadro RTX 8000,GPU,w8,secp256k1,256,ADD,50000,0.000058882,849153468.804,0
opencl-e2e,Quadro RTX 8000,GPU,w8,secp256k1,256,ADD,50000,0.000752169,66474427.905,0
opencl-kernel,Quadro RTX 8000,GPU,w16,secp256k1,256,ADD,50000,0.000027442,1822016788.984,0
opencl-e2e,Quadro RTX 8000,GPU,w16,secp256k1,256,ADD,50000,0.000675503,74018923.758,0
opencl-kernel,Quadro RTX 8000,GPU,w32,secp256k1,256,ADD,50000,0.000019016,2629367903.714,0
opencl-e2e,Quadro RTX 8000,GPU,w32,secp256k1,256,ADD,50000,0.000660906,75653714.652,0
opencl-kernel,Quadro RTX 8000,GPU,w32-opt,secp256k1,256,ADD,50000,0.000018215,2744984403.001,0
opencl-e2e,Quadro RTX 8000,GPU,w32-opt,secp256k1,256,ADD,50000,0.000699129,71517564.248,0
library,AMD EPYC 7282 16-Core Processor,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000707674,70653994.408,0
library,Quadro RTX 8000,gpu,cgbn,secp256k1,256,SUBTRACT,50000,0.000030528,1637840670.860,0
opencl-kernel,Quadro RTX 8000,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000058761,850903072.784,0
opencl-e2e,Quadro RTX 8000,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000723675,69091798.620,0
opencl-kernel,Quadro RTX 8000,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000025919,1929073900.936,0
opencl-e2e,Quadro RTX 8000,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000676525,73907117.852,0
opencl-kernel,Quadro RTX 8000,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000018295,2732967214.325,0
opencl-e2e,Quadro RTX 8000,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000666507,75017960.712,0
opencl-kernel,Quadro RTX 8000,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000017663,2830776473.070,0
opencl-e2e,Quadro RTX 8000,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000684772,73017012.771,0
