kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000950252,52617624.821,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,ADD,50000,0.000128113,390280558.519,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,ADD,50000,0.001243580,40206503.824,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,ADD,50000,0.000062707,797360668.934,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,ADD,50000,0.001188036,42086264.820,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.001231117,40613526.081,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000130336,383623766.812,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001312469,38096140.809,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000065040,768756787.485,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,SUBTRACT,50000,0.001241229,40282655.048,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.003090101,16180700.568,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,ADDMOD,50000,0.000174349,286780825.401,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,ADDMOD,50000,0.001335362,37443031.202,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,ADDMOD,50000,0.000083793,596708878.318,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,ADDMOD,50000,0.001222024,40915727.592,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.002088882,23936248.819,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000175984,284116935.086,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.001311359,38128384.495,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000084508,591660118.085,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.001181935,42303512.193,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001021963,48925457.721,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.005960913,8387976.608,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.007664027,6523985.431,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001270819,39344706.370,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002619784,19085543.952,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001015150,49253805.427,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.003130736,15970685.170,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.004904941,10193802.624,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000792726,63073481.768,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.002201569,22711075.253,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.007950403,6288989.353,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000361719,138228870.647,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.001757840,28443996.860,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000107888,463444002.806,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.001361523,36723585.631,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,COMPARE,50000,0.000397693,125725151.193,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,COMPARE,50000,0.000085719,583300145.317,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,COMPARE,50000,0.001509906,33114648.768,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,COMPARE,50000,0.000048400,1033054954.613,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,COMPARE,50000,0.001152488,43384402.022,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,REDUCE,6250,0.000126462,49421974.777,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,REDUCE,21000,0.000235562,89148512.021,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,REDUCE,21000,0.000910013,23076593.848,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,REDUCE,21000,0.000130116,161394437.832,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,REDUCE,21000,0.000741218,28331746.472,0
library,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,host-cpu,gmp-1t,secp256k1,256,MODMUL,3125,0.000372625,8386448.490,0
opencl-kernel,Tesla P40,GPU,w8,secp256k1,256,MODMUL,21000,0.000674574,31130750.221,0
opencl-e2e,Tesla P40,GPU,w8,secp256k1,256,MODMUL,21000,0.001489175,14101767.588,0
opencl-kernel,Tesla P40,GPU,w16,secp256k1,256,MODMUL,21000,0.000393346,53388117.741,0
opencl-e2e,Tesla P40,GPU,w16,secp256k1,256,MODMUL,21000,0.001077314,19492925.743,0
