kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.005703559,8766456.128,0
library,Tesla V100-PCIE-32GB,gpu,cgbn,secp256k1,256,ADD,50000,0.000025856,1933787128.713,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,ADD,50000,0.000060826,822016682.759,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,ADD,50000,0.001017086,49160052.569,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,ADD,50000,0.000036252,1379235616.984,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,ADD,50000,0.001463981,34153448.805,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,ADD,50000,0.000022349,2237230134.860,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,ADD,50000,0.001531616,32645258.987,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.000023697,2109968409.676,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,ADD,50000,0.001340551,37298094.161,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.000022842,2188953369.587,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,ADD,50000,0.001435725,34825613.132,0
library,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.005437951,9194639.653,0
library,Tesla V100-PCIE-32GB,gpu,cgbn,secp256k1,256,SUBTRACT,50000,0.000022592,2213172804.533,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.000059842,835533353.695,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,SUBTRACT,50000,0.001013263,49345529.634,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,SUBTRACT,50000,0.000035384,1413069195.186,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,SUBTRACT,50000,0.001390731,35952316.703,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,SUBTRACT,50000,0.000021507,2324820993.375,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,SUBTRACT,50000,0.001624495,30778795.420,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000022937,2179887678.339,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.001332831,37514133.817,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000021379,2338733587.084,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.001364472,36644211.821,0
library,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.022078488,2264647.831,0
library,Tesla V100-PCIE-32GB,gpu,cgbn,secp256k1,256,ADDMOD,50000,0.000023040,2170138888.889,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,ADDMOD,50000,0.000086900,575374236.702,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,ADDMOD,50000,0.001039366,48106249.156,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,ADDMOD,50000,0.000050017,999661880.356,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,ADDMOD,50000,0.001396148,35812822.139,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,ADDMOD,50000,0.000028360,1763043251.742,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,ADDMOD,50000,0.001626734,30736434.080,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000024579,2034256908.474,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.001384639,36110493.537,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000022729,2199839836.099,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.001385298,36093317.744,0
library,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.010463644,4778450.034,0
library,Tesla V100-PCIE-32GB,gpu,cgbn,secp256k1,256,SUBTRACTMOD,50000,0.000022336,2238538681.948,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.000088443,565335929.379,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,SUBTRACTMOD,50000,0.001085969,46041830.807,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.000050466,990767521.032,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,SUBTRACTMOD,50000,0.001413287,35378517.984,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.000029433,1698770427.326,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,SUBTRACTMOD,50000,0.001343821,37207337.984,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000024782,2017591130.987,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.001352623,36965215.304,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000022974,2176375026.476,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.001420317,35203409.191,0
library,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.012028825,4156681.969,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002030121,24629073.980,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.003170425,15770756.506,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000685039,72988547.695,0
opencl-e2e,Tesla V100-PCIE-32GB,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.002802309,17842429.238,0
opencl-kernel,Tesla V100-PCIE-32GB,GPU,w32,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000152632,327585277.389,0
