kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000753594,66348684.316,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.000033590,1488537754.734,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.000063319,789646687.136,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000013751,3636105059.262,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000385949,129550821.591,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000013020,3840278340.486,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000393130,127184429.072,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000566581,88248557.829,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,50000,0.000045679,1094606390.052,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,50000,0.000050611,987932478.729,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000013240,3776393008.124,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000383314,130441368.846,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000013310,3756574971.137,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000382243,130806857.438,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.002057403,24302482.578,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,ADDMOD,50000,0.000124426,401844973.297,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,ADDMOD,50000,0.000525247,95193232.563,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000010595,4719225685.090,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000386539,129353081.970,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000010665,4688214749.159,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000388692,128636588.418,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.001628711,30699122.596,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,SUBTRACTMOD,50000,0.000108519,460747381.497,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,SUBTRACTMOD,50000,0.000690792,72380688.854,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000011007,4542631569.150,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000386669,129309541.882,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000010646,4696622447.730,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000389744,128289318.242,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000943384,53000705.563,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000072619,688525549.542,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000196685,254214084.574,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000018438,2711811652.986,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000460199,108648630.840,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000019228,2600362840.260,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000467741,106896728.164,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000945179,52900031.309,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000068766,727108362.995,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000213157,234568589.634,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000020801,2403720223.864,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000460931,108476082.445,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000020601,2427056258.406,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000459208,108883084.181,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.007558168,6615359.574,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000455813,109694102.984,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000148773,336082577.253,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000013871,3604612004.834,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000387330,129088865.993,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000012790,3909349100.706,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000388733,128622951.181,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,COMPARE,50000,0.000405506,123302809.201,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,COMPARE,50000,0.000037618,1329136786.701,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,COMPARE,50000,0.000024423,2047285405.675,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,COMPARE,50000,0.000009924,5038321206.860,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,COMPARE,50000,0.000383385,130417207.550,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,COMPARE,50000,0.000010376,4818875433.085,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,COMPARE,50000,0.000390946,127894922.756,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,REDUCE,6250,0.000101067,61840052.847,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,REDUCE,6250,0.000007276,859043529.166,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,REDUCE,6250,0.000076974,81196324.869,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,REDUCE,50000,0.000036124,1384124915.727,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,REDUCE,50000,0.000404095,123733266.958,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,REDUCE,50000,0.000034432,1452140629.142,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,REDUCE,50000,0.000412549,121197687.660,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MODMUL,3125,0.000269980,11574920.452,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MODMUL,3125,0.000017211,181565307.615,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MODMUL,3125,0.000059471,52546619.373,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODMUL,50000,0.000103966,480927070.522,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODMUL,50000,0.000478046,104592441.817,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODMUL,50000,0.000082423,606626944.328,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODMUL,50000,0.000456183,109605140.227,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MODEXP,781,0.007165869,108988.875,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MODEXP,781,0.000435833,1791970.281,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MODEXP,781,0.000882672,884813.238,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODEXP,50000,0.002545422,19643106.937,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODEXP,50000,0.003008707,16618434.647,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODEXP,50000,0.001213519,41202481.723,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODEXP,50000,0.001634991,30581207.545,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,EXPONENTIATION,781,0.002224369,351110.795,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,EXPONENTIATION,781,0.000143345,5448394.506,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,EXPONENTIATION,781,0.002247769,347455.627,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,EXPONENTIATION,50000,0.000463645,107841134.512,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,EXPONENTIATION,50000,0.000853147,58606554.705,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,EXPONENTIATION,50000,0.000409424,122122765.620,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,EXPONENTIATION,50000,0.000790314,63265988.976,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,DIVIDE,6250,0.000166588,37517632.076,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,DIVIDE,6250,0.000012268,509467020.606,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,DIVIDE,6250,0.000063889,97825809.483,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,DIVIDE,50000,0.000099799,501006370.937,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,DIVIDE,50000,0.000538176,92906382.447,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,DIVIDE,50000,0.000098278,508760616.061,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,DIVIDE,50000,0.000534691,93511968.230,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,ISQRT,1562,0.000082248,18991429.013,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,ISQRT,1562,0.000005643,276812403.871,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ISQRT,50000,0.000662403,75482755.811,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ISQRT,50000,0.001065266,46936640.146,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ISQRT,50000,0.000599909,83345959.117,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ISQRT,50000,0.000983514,50838110.763,0
