kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000990005,50504820.348,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.000157650,317158540.306,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.000172890,289201964.568,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADD,50000,0.000015403,3246188662.817,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADD,50000,0.000964475,51841682.817,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000737715,67776875.711,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,50000,0.000117572,425272918.969,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,50000,0.000145282,344159051.252,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000015152,3299861163.527,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000972132,51433333.940,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.002839187,17610675.620,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,ADDMOD,50000,0.000496950,100613743.731,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,ADDMOD,50000,0.001873280,26691155.782,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000013195,3789320383.964,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000979070,51068891.282,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.002051386,24373764.255,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,SUBTRACTMOD,50000,0.000351188,142373694.047,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,SUBTRACTMOD,50000,0.002310852,21637045.080,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000012690,3940192374.592,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000949900,52637112.400,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001107468,45148020.368,0
