kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000977919,51128956.138,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.000157394,317674155.994,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.000171913,290844674.624,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADD,50000,0.000015197,3290154202.543,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADD,50000,0.000974688,51298480.072,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000763750,65466447.227,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,50000,0.000118412,422255332.157,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,50000,0.000145449,343763123.341,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000015078,3316064928.968,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACT,50000,0.000973168,51378599.352,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.002843310,17585139.114,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,ADDMOD,50000,0.000495347,100939254.459,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,ADDMOD,50000,0.001818236,27499181.075,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000012957,3858910418.688,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ADDMOD,50000,0.000967809,51663086.462,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.002046422,24432892.578,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,SUBTRACTMOD,50000,0.000351002,142449152.264,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,SUBTRACTMOD,50000,0.002290381,21830427.955,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000012568,3978295012.968,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,50000,0.000956974,52248023.878,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001095034,45660681.562,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000177795,281223386.440,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000920383,54325231.587,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000017026,2936689615.185,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001207011,41424633.368,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001107494,45146969.969,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000175969,284140618.326,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000369884,135177544.893,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000040147,1245409000.650,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001227910,40719591.250,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.007470328,6693146.633,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.001305336,38304310.093,0
