# CGBN benchmark, device NVIDIA B200, items=50000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	50000	0.000009760
secp256k1	SUBTRACT	50000	0.000008416
secp256k1	MULTIPLYPRODUCTSCANNING	50000	0.000009952
secp256k1	COMPARE	50000	0.000010272
secp256k1	REDUCE	50000	0.000013888
secp256k1	DIVIDE	50000	0.000017952
secp256k1	MODMUL	50000	0.000034272
secp256k1	MONTGOMERYMULTIPLICATION	50000	0.000012224
secp256k1	MODEXP	50000	0.009089024
secp256k1	ADDMOD	50000	0.000009472
secp256k1	SUBTRACTMOD	50000	0.000010464
secp256k1	MODMUL_R2	50000	0.000015072
rsa256(composite)	ADD	50000	0.000009344
rsa256(composite)	SUBTRACT	50000	0.000009152
rsa256(composite)	MULTIPLYPRODUCTSCANNING	50000	0.000009408
rsa256(composite)	COMPARE	50000	0.000008416
rsa256(composite)	REDUCE	50000	0.000014272
rsa256(composite)	DIVIDE	50000	0.000016896
rsa256(composite)	MODMUL	50000	0.000034272
rsa256(composite)	MONTGOMERYMULTIPLICATION	50000	0.000012064
rsa256(composite)	MODEXP	50000	0.008873088
rsa256(composite)	ADDMOD	50000	0.000010912
rsa256(composite)	SUBTRACTMOD	50000	0.000011776
rsa256(composite)	MODMUL_R2	50000	0.000015840
brainpoolP512r1	ADD	50000	0.000009920
brainpoolP512r1	SUBTRACT	50000	0.000010464
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	50000	0.000011840
brainpoolP512r1	COMPARE	50000	0.000009792
brainpoolP512r1	REDUCE	50000	0.000020128
brainpoolP512r1	DIVIDE	50000	0.000025856
brainpoolP512r1	MODMUL	50000	0.000084224
brainpoolP512r1	MONTGOMERYMULTIPLICATION	50000	0.000014272
brainpoolP512r1	MODEXP	50000	0.020391136
brainpoolP512r1	ADDMOD	50000	0.000011264
brainpoolP512r1	SUBTRACTMOD	50000	0.000012032
brainpoolP512r1	MODMUL_R2	50000	0.000022112
p1024	ADD	50000	0.000011648
p1024	SUBTRACT	50000	0.000011456
p1024	MULTIPLYPRODUCTSCANNING	50000	0.000022784
p1024	COMPARE	50000	0.000011808
p1024	REDUCE	50000	0.000025280
p1024	DIVIDE	50000	0.000032640
p1024	MODMUL	50000	0.000196832
p1024	MONTGOMERYMULTIPLICATION	50000	0.000034272
p1024	MODEXP	50000	0.102009565
p1024	ADDMOD	50000	0.000011648
p1024	SUBTRACTMOD	50000	0.000017728
p1024	MODMUL_R2	50000	0.000058880
p2048	ADD	50000	0.000014080
p2048	SUBTRACT	50000	0.000013952
p2048	MULTIPLYPRODUCTSCANNING	50000	0.000061504
p2048	COMPARE	50000	0.000014144
p2048	REDUCE	50000	0.000027712
p2048	DIVIDE	50000	0.000033056
p2048	MODMUL	50000	0.000389344
p2048	MONTGOMERYMULTIPLICATION	50000	0.000092192
p2048	MODEXP	50000	0.568500459
p2048	ADDMOD	50000	0.000014048
p2048	SUBTRACTMOD	50000	0.000013280
p2048	MODMUL_R2	50000	0.000172416
