# CGBN benchmark, device NVIDIA B300 SXM6 AC, items=50000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	50000	0.000007808
secp256k1	SUBTRACT	50000	0.000007616
secp256k1	MULTIPLYPRODUCTSCANNING	50000	0.000007808
secp256k1	COMPARE	50000	0.000007808
secp256k1	REDUCE	50000	0.000013632
secp256k1	DIVIDE	50000	0.000015744
secp256k1	MODMUL	50000	0.000031296
secp256k1	MONTGOMERYMULTIPLICATION	50000	0.000010368
secp256k1	MODEXP	50000	0.008784256
secp256k1	ADDMOD	50000	0.000009696
secp256k1	SUBTRACTMOD	50000	0.000009728
secp256k1	MODMUL_R2	50000	0.000013920
rsa256(composite)	ADD	50000	0.000007904
rsa256(composite)	SUBTRACT	50000	0.000007584
rsa256(composite)	MULTIPLYPRODUCTSCANNING	50000	0.000008096
rsa256(composite)	COMPARE	50000	0.000007840
rsa256(composite)	REDUCE	50000	0.000013216
rsa256(composite)	DIVIDE	50000	0.000015712
rsa256(composite)	MODMUL	50000	0.000031552
rsa256(composite)	MONTGOMERYMULTIPLICATION	50000	0.000010080
rsa256(composite)	MODEXP	50000	0.008597056
rsa256(composite)	ADDMOD	50000	0.000009472
rsa256(composite)	SUBTRACTMOD	50000	0.000009600
rsa256(composite)	MODMUL_R2	50000	0.000014432
brainpoolP512r1	ADD	50000	0.000008416
brainpoolP512r1	SUBTRACT	50000	0.000008672
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	50000	0.000010336
brainpoolP512r1	COMPARE	50000	0.000008480
brainpoolP512r1	REDUCE	50000	0.000017504
brainpoolP512r1	DIVIDE	50000	0.000023968
brainpoolP512r1	MODMUL	50000	0.000079456
brainpoolP512r1	MONTGOMERYMULTIPLICATION	50000	0.000013696
brainpoolP512r1	MODEXP	50000	0.019682465
brainpoolP512r1	ADDMOD	50000	0.000010144
brainpoolP512r1	SUBTRACTMOD	50000	0.000010720
brainpoolP512r1	MODMUL_R2	50000	0.000020000
p1024	ADD	50000	0.000010272
p1024	SUBTRACT	50000	0.000009920
p1024	MULTIPLYPRODUCTSCANNING	50000	0.000020736
p1024	COMPARE	50000	0.000010752
p1024	REDUCE	50000	0.000022976
p1024	DIVIDE	50000	0.000030208
p1024	MODMUL	50000	0.000187008
p1024	MONTGOMERYMULTIPLICATION	50000	0.000030240
p1024	MODEXP	50000	0.098690912
p1024	ADDMOD	50000	0.000011648
p1024	SUBTRACTMOD	50000	0.000011680
p1024	MODMUL_R2	50000	0.000054368
p2048	ADD	50000	0.000013600
p2048	SUBTRACT	50000	0.000012480
p2048	MULTIPLYPRODUCTSCANNING	50000	0.000056864
p2048	COMPARE	50000	0.000012352
p2048	REDUCE	50000	0.000024352
p2048	DIVIDE	50000	0.000029632
p2048	MODMUL	50000	0.000374144
p2048	MONTGOMERYMULTIPLICATION	50000	0.000086688
p2048	MODEXP	50000	0.550747633
p2048	ADDMOD	50000	0.000012128
p2048	SUBTRACTMOD	50000	0.000013248
p2048	MODMUL_R2	50000	0.000163200
