# CGBN benchmark, device NVIDIA H100 80GB HBM3, items=50000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	50000	0.000013056
secp256k1	SUBTRACT	50000	0.000012864
secp256k1	MULTIPLYPRODUCTSCANNING	50000	0.000012672
secp256k1	COMPARE	50000	0.000013504
secp256k1	REDUCE	50000	0.000017376
secp256k1	DIVIDE	50000	0.000019936
secp256k1	MODMUL	50000	0.000038208
secp256k1	MONTGOMERYMULTIPLICATION	50000	0.000016000
secp256k1	MODEXP	50000	0.019156063
secp256k1	ADDMOD	50000	0.000015104
secp256k1	SUBTRACTMOD	50000	0.000015936
secp256k1	MODMUL_R2	50000	0.000021344
rsa256(composite)	ADD	50000	0.000012832
rsa256(composite)	SUBTRACT	50000	0.000012768
rsa256(composite)	MULTIPLYPRODUCTSCANNING	50000	0.000012864
rsa256(composite)	COMPARE	50000	0.000013568
rsa256(composite)	REDUCE	50000	0.000017568
rsa256(composite)	DIVIDE	50000	0.000019680
rsa256(composite)	MODMUL	50000	0.000037600
rsa256(composite)	MONTGOMERYMULTIPLICATION	50000	0.000015744
rsa256(composite)	MODEXP	50000	0.018994017
rsa256(composite)	ADDMOD	50000	0.000014912
rsa256(composite)	SUBTRACTMOD	50000	0.000015520
rsa256(composite)	MODMUL_R2	50000	0.000020736
brainpoolP512r1	ADD	50000	0.000015584
brainpoolP512r1	SUBTRACT	50000	0.000015808
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	50000	0.000015424
brainpoolP512r1	COMPARE	50000	0.000015584
brainpoolP512r1	REDUCE	50000	0.000025088
brainpoolP512r1	DIVIDE	50000	0.000030016
brainpoolP512r1	MODMUL	50000	0.000094208
brainpoolP512r1	MONTGOMERYMULTIPLICATION	50000	0.000020896
brainpoolP512r1	MODEXP	50000	0.047119424
brainpoolP512r1	ADDMOD	50000	0.000017600
brainpoolP512r1	SUBTRACTMOD	50000	0.000017696
brainpoolP512r1	MODMUL_R2	50000	0.000029056
p1024	ADD	50000	0.000020480
p1024	SUBTRACT	50000	0.000020128
p1024	MULTIPLYPRODUCTSCANNING	50000	0.000025152
p1024	COMPARE	50000	0.000020320
p1024	REDUCE	50000	0.000031872
p1024	DIVIDE	50000	0.000038240
p1024	MODMUL	50000	0.000215872
p1024	MONTGOMERYMULTIPLICATION	50000	0.000037184
p1024	MODEXP	50000	0.246001378
p1024	ADDMOD	50000	0.000021664
p1024	SUBTRACTMOD	50000	0.000022240
p1024	MODMUL_R2	50000	0.000064160
p2048	ADD	50000	0.000029632
p2048	SUBTRACT	50000	0.000029152
p2048	MULTIPLYPRODUCTSCANNING	50000	0.000065760
p2048	COMPARE	50000	0.000029408
p2048	REDUCE	50000	0.000033568
p2048	DIVIDE	50000	0.000036928
p2048	MODMUL	50000	0.000432160
p2048	MONTGOMERYMULTIPLICATION	50000	0.000101344
p2048	MODEXP	50000	1.393390894
p2048	ADDMOD	50000	0.000028448
p2048	SUBTRACTMOD	50000	0.000028160
p2048	MODMUL_R2	50000	0.000186784
