# CGBN benchmark, device NVIDIA H100 NVL, items=500000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	500000	0.000040672
secp256k1	SUBTRACT	500000	0.000041056
secp256k1	MULTIPLYPRODUCTSCANNING	500000	0.000040544
secp256k1	COMPARE	500000	0.000041248
secp256k1	REDUCE	500000	0.000086272
secp256k1	DIVIDE	500000	0.000112576
secp256k1	MODMUL	500000	0.000279744
secp256k1	MONTGOMERYMULTIPLICATION	500000	0.000061888
secp256k1	MODEXP	500000	0.094490685
secp256k1	ADDMOD	500000	0.000050816
secp256k1	SUBTRACTMOD	500000	0.000055072
secp256k1	MODMUL_R2	500000	0.000102240
rsa256(composite)	ADD	500000	0.000041024
rsa256(composite)	SUBTRACT	500000	0.000040832
rsa256(composite)	MULTIPLYPRODUCTSCANNING	500000	0.000040320
rsa256(composite)	COMPARE	500000	0.000041088
rsa256(composite)	REDUCE	500000	0.000086240
rsa256(composite)	DIVIDE	500000	0.000112992
rsa256(composite)	MODMUL	500000	0.000279840
rsa256(composite)	MONTGOMERYMULTIPLICATION	500000	0.000061472
rsa256(composite)	MODEXP	500000	0.092926592
rsa256(composite)	ADDMOD	500000	0.000054272
rsa256(composite)	SUBTRACTMOD	500000	0.000055360
rsa256(composite)	MODMUL_R2	500000	0.000101856
brainpoolP512r1	ADD	500000	0.000054400
brainpoolP512r1	SUBTRACT	500000	0.000053760
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	500000	0.000065920
brainpoolP512r1	COMPARE	500000	0.000053760
brainpoolP512r1	REDUCE	500000	0.000149792
brainpoolP512r1	DIVIDE	500000	0.000213632
brainpoolP512r1	MODMUL	500000	0.000883392
brainpoolP512r1	MONTGOMERYMULTIPLICATION	500000	0.000095296
brainpoolP512r1	MODEXP	500000	0.226987049
brainpoolP512r1	ADDMOD	500000	0.000067840
brainpoolP512r1	SUBTRACTMOD	500000	0.000068512
brainpoolP512r1	MODMUL_R2	500000	0.000170464
p1024	ADD	500000	0.000095552
p1024	SUBTRACT	500000	0.000096000
p1024	MULTIPLYPRODUCTSCANNING	500000	0.000198560
p1024	COMPARE	500000	0.000096256
p1024	REDUCE	500000	0.000229088
p1024	DIVIDE	500000	0.000304512
p1024	MODMUL	500000	0.002170112
p1024	MONTGOMERYMULTIPLICATION	500000	0.000308064
p1024	MODEXP	500000	1.208781123
p1024	ADDMOD	500000	0.000102176
p1024	SUBTRACTMOD	500000	0.000105312
p1024	MODMUL_R2	500000	0.000595712
p2048	ADD	500000	0.000183264
p2048	SUBTRACT	500000	0.000182624
p2048	MULTIPLYPRODUCTSCANNING	500000	0.000650016
p2048	COMPARE	500000	0.000182560
p2048	REDUCE	500000	0.000272992
p2048	DIVIDE	500000	0.000312416
p2048	MODMUL	500000	0.004665568
p2048	MONTGOMERYMULTIPLICATION	500000	0.001019840
p2048	MODEXP	500000	6.957280636
p2048	ADDMOD	500000	0.000181792
p2048	SUBTRACTMOD	500000	0.000183200
p2048	MODMUL_R2	500000	0.001976480
