# CGBN benchmark, device NVIDIA GeForce RTX 5080, items=200000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	200000	0.000036128
secp256k1	SUBTRACT	200000	0.000040160
secp256k1	MULTIPLYPRODUCTSCANNING	200000	0.000030688
secp256k1	COMPARE	200000	0.000021792
secp256k1	REDUCE	200000	0.000036448
secp256k1	DIVIDE	200000	0.000047968
secp256k1	MODMUL	200000	0.000126112
secp256k1	MONTGOMERYMULTIPLICATION	200000	0.000026432
secp256k1	MODEXP	200000	0.039886560
secp256k1	ADDMOD	200000	0.000023488
secp256k1	SUBTRACTMOD	200000	0.000025504
secp256k1	MODMUL_R2	200000	0.000043232
rsa256(composite)	ADD	200000	0.000041344
rsa256(composite)	SUBTRACT	200000	0.000023136
rsa256(composite)	MULTIPLYPRODUCTSCANNING	200000	0.000023392
rsa256(composite)	COMPARE	200000	0.000021344
rsa256(composite)	REDUCE	200000	0.000037184
rsa256(composite)	DIVIDE	200000	0.000070592
rsa256(composite)	MODMUL	200000	0.000119456
rsa256(composite)	MONTGOMERYMULTIPLICATION	200000	0.000039680
rsa256(composite)	MODEXP	200000	0.039235584
rsa256(composite)	ADDMOD	200000	0.000024288
rsa256(composite)	SUBTRACTMOD	200000	0.000040512
rsa256(composite)	MODMUL_R2	200000	0.000043168
brainpoolP512r1	ADD	200000	0.000030752
brainpoolP512r1	SUBTRACT	200000	0.000062944
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	200000	0.000029664
brainpoolP512r1	COMPARE	200000	0.000039776
brainpoolP512r1	REDUCE	200000	0.000065408
brainpoolP512r1	DIVIDE	200000	0.000091360
brainpoolP512r1	MODMUL	200000	0.000363264
brainpoolP512r1	MONTGOMERYMULTIPLICATION	200000	0.000043328
brainpoolP512r1	MODEXP	200000	0.107354462
brainpoolP512r1	ADDMOD	200000	0.000032832
brainpoolP512r1	SUBTRACTMOD	200000	0.000030720
brainpoolP512r1	MODMUL_R2	200000	0.000106688
p1024	ADD	200000	0.000123648
p1024	SUBTRACT	200000	0.000118944
p1024	MULTIPLYPRODUCTSCANNING	200000	0.000122592
p1024	COMPARE	200000	0.000121056
p1024	REDUCE	200000	0.000125088
p1024	DIVIDE	200000	0.000144224
p1024	MODMUL	200000	0.000922528
p1024	MONTGOMERYMULTIPLICATION	200000	0.000131168
p1024	MODEXP	200000	0.546234846
p1024	ADDMOD	200000	0.000133952
p1024	SUBTRACTMOD	200000	0.000134080
p1024	MODMUL_R2	200000	0.000236576
p2048	ADD	200000	0.000243872
p2048	SUBTRACT	200000	0.000242496
p2048	MULTIPLYPRODUCTSCANNING	200000	0.000286240
p2048	COMPARE	200000	0.000244224
p2048	REDUCE	200000	0.000247776
p2048	DIVIDE	200000	0.000242528
p2048	MODMUL	200000	0.001905696
p2048	MONTGOMERYMULTIPLICATION	200000	0.000414016
p2048	MODEXP	200000	3.151884317
p2048	ADDMOD	200000	0.000244192
p2048	SUBTRACTMOD	200000	0.000243968
p2048	MODMUL_R2	200000	0.000785632
