# CGBN benchmark, device NVIDIA H100 NVL, items=500000 reps=5
# modulus	operation	items	seconds
secp256k1	ADD	500000	0.000041120
secp256k1	SUBTRACT	500000	0.000040576
secp256k1	MULTIPLYPRODUCTSCANNING	500000	0.000040512
secp256k1	COMPARE	500000	0.000040864
secp256k1	REDUCE	500000	0.000085888
secp256k1	DIVIDE	500000	0.000112288
secp256k1	MODMUL	500000	0.000280512
secp256k1	MONTGOMERYMULTIPLICATION	500000	0.000061792
secp256k1	MODEXP	500000	0.094014816
secp256k1	ADDMOD	500000	0.000051200
secp256k1	SUBTRACTMOD	500000	0.000055264
secp256k1	MODMUL_R2	500000	0.000101536
rsa256(composite)	ADD	500000	0.000041024
rsa256(composite)	SUBTRACT	500000	0.000040704
rsa256(composite)	MULTIPLYPRODUCTSCANNING	500000	0.000040736
rsa256(composite)	COMPARE	500000	0.000041184
rsa256(composite)	REDUCE	500000	0.000086176
rsa256(composite)	DIVIDE	500000	0.000112736
rsa256(composite)	MODMUL	500000	0.000279424
rsa256(composite)	MONTGOMERYMULTIPLICATION	500000	0.000061024
rsa256(composite)	MODEXP	500000	0.092622750
rsa256(composite)	ADDMOD	500000	0.000054176
rsa256(composite)	SUBTRACTMOD	500000	0.000054720
rsa256(composite)	MODMUL_R2	500000	0.000101600
brainpoolP512r1	ADD	500000	0.000053984
brainpoolP512r1	SUBTRACT	500000	0.000054080
brainpoolP512r1	MULTIPLYPRODUCTSCANNING	500000	0.000066112
brainpoolP512r1	COMPARE	500000	0.000053568
brainpoolP512r1	REDUCE	500000	0.000148128
brainpoolP512r1	DIVIDE	500000	0.000212928
brainpoolP512r1	MODMUL	500000	0.000879136
brainpoolP512r1	MONTGOMERYMULTIPLICATION	500000	0.000095168
brainpoolP512r1	MODEXP	500000	0.226988807
brainpoolP512r1	ADDMOD	500000	0.000068032
brainpoolP512r1	SUBTRACTMOD	500000	0.000068416
brainpoolP512r1	MODMUL_R2	500000	0.000171232
p1024	ADD	500000	0.000096160
p1024	SUBTRACT	500000	0.000095616
p1024	MULTIPLYPRODUCTSCANNING	500000	0.000198208
p1024	COMPARE	500000	0.000095776
p1024	REDUCE	500000	0.000228864
p1024	DIVIDE	500000	0.000305344
p1024	MODMUL	500000	0.002169376
p1024	MONTGOMERYMULTIPLICATION	500000	0.000307648
p1024	MODEXP	500000	1.208811164
p1024	ADDMOD	500000	0.000101920
p1024	SUBTRACTMOD	500000	0.000105728
p1024	MODMUL_R2	500000	0.000598304
p2048	ADD	500000	0.000182368
p2048	SUBTRACT	500000	0.000182688
p2048	MULTIPLYPRODUCTSCANNING	500000	0.000650496
p2048	COMPARE	500000	0.000182624
p2048	REDUCE	500000	0.000273152
p2048	DIVIDE	500000	0.000312608
p2048	MODMUL	500000	0.004667488
p2048	MONTGOMERYMULTIPLICATION	500000	0.001020256
p2048	MODEXP	500000	6.958160877
p2048	ADDMOD	500000	0.000182464
p2048	SUBTRACTMOD	500000	0.000182432
p2048	MODMUL_R2	500000	0.001972032
