kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Ryzen 7 5700G with Radeon Graphics,host-cpu,gmp-1t,secp256k1,256,ADD,20000,0.000245000,81632653.078,0
opencl-kernel,gfx1010:xnack-,GPU,w8,secp256k1,256,ADD,20000,0.000088576,225794797.553,0
opencl-e2e,gfx1010:xnack-,GPU,w8,secp256k1,256,ADD,20000,0.000354445,56426243.851,0
opencl-kernel,gfx1010:xnack-,GPU,w16,secp256k1,256,ADD,20000,0.000082154,243445237.043,0
opencl-e2e,gfx1010:xnack-,GPU,w16,secp256k1,256,ADD,20000,0.000378319,52865438.956,0
opencl-kernel,gfx1010:xnack-,GPU,w32,secp256k1,256,ADD,20000,0.000068469,292102995.098,0
opencl-e2e,gfx1010:xnack-,GPU,w32,secp256k1,256,ADD,20000,0.000378239,52876620.316,0
opencl-kernel,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,ADD,20000,0.000071534,279587329.214,0
opencl-e2e,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,ADD,20000,0.000371566,53826238.136,0
opencl-kernel,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,ADD,20000,0.000070241,284733986.338,0
opencl-e2e,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,ADD,20000,0.000386240,51781275.904,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il,secp256k1,256,ADD,20000,0.000049482,404187383.986,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il,secp256k1,256,ADD,20000,0.000346477,57723889.283,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,ADD,20000,0.000062968,317621647.613,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,ADD,20000,0.000367426,54432729.291,0
library,AMD Ryzen 7 5700G with Radeon Graphics,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,20000,0.000194966,102581988.664,0
opencl-kernel,gfx1010:xnack-,GPU,w8,secp256k1,256,SUBTRACT,20000,0.000091532,218502818.553,0
opencl-e2e,gfx1010:xnack-,GPU,w8,secp256k1,256,SUBTRACT,20000,0.000381906,52368907.528,0
opencl-kernel,gfx1010:xnack-,GPU,w16,secp256k1,256,SUBTRACT,20000,0.000079910,250281566.551,0
opencl-e2e,gfx1010:xnack-,GPU,w16,secp256k1,256,SUBTRACT,20000,0.000371136,53888601.481,0
opencl-kernel,gfx1010:xnack-,GPU,w32,secp256k1,256,SUBTRACT,20000,0.000068268,292963027.305,0
opencl-e2e,gfx1010:xnack-,GPU,w32,secp256k1,256,SUBTRACT,20000,0.000396553,50434620.315,0
opencl-kernel,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,SUBTRACT,20000,0.000076203,262456858.878,0
opencl-e2e,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,SUBTRACT,20000,0.000361217,55368379.658,0
opencl-kernel,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,SUBTRACT,20000,0.000061495,325229691.307,0
opencl-e2e,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,SUBTRACT,20000,0.000374278,53436215.799,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il,secp256k1,256,SUBTRACT,20000,0.000063579,314569275.039,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il,secp256k1,256,SUBTRACT,20000,0.000345715,57851120.127,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,SUBTRACT,20000,0.000063438,315268451.732,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,SUBTRACT,20000,0.000357668,55917778.482,0
library,AMD Ryzen 7 5700G with Radeon Graphics,host-cpu,gmp-1t,secp256k1,256,ADDMOD,20000,0.000659617,30320625.454,0
opencl-kernel,gfx1010:xnack-,GPU,w8,secp256k1,256,ADDMOD,20000,0.000089568,223294033.530,0
opencl-e2e,gfx1010:xnack-,GPU,w8,secp256k1,256,ADDMOD,20000,0.000373350,53569037.094,0
opencl-kernel,gfx1010:xnack-,GPU,w16,secp256k1,256,ADDMOD,20000,0.000088436,226152245.841,0
opencl-e2e,gfx1010:xnack-,GPU,w16,secp256k1,256,ADDMOD,20000,0.000338805,59031006.004,0
opencl-kernel,gfx1010:xnack-,GPU,w32,secp256k1,256,ADDMOD,20000,0.000076103,262801728.948,0
opencl-e2e,gfx1010:xnack-,GPU,w32,secp256k1,256,ADDMOD,20000,0.000375774,53223480.092,0
opencl-kernel,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,ADDMOD,20000,0.000070382,284163564.130,0
opencl-e2e,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,ADDMOD,20000,0.000344676,58025508.023,0
opencl-kernel,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,ADDMOD,20000,0.000059832,334269285.880,0
opencl-e2e,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,ADDMOD,20000,0.000358078,55853752.556,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il,secp256k1,256,ADDMOD,20000,0.000059591,335621150.388,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il,secp256k1,256,ADDMOD,20000,0.000339644,58885185.634,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,ADDMOD,20000,0.000065483,305422781.153,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,ADDMOD,20000,0.000366023,54641374.932,0
library,AMD Ryzen 7 5700G with Radeon Graphics,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,20000,0.000534241,37436288.119,0
opencl-kernel,gfx1010:xnack-,GPU,w8,secp256k1,256,SUBTRACTMOD,20000,0.000089147,224348547.804,0
opencl-e2e,gfx1010:xnack-,GPU,w8,secp256k1,256,SUBTRACTMOD,20000,0.000359745,55594935.306,0
opencl-kernel,gfx1010:xnack-,GPU,w16,secp256k1,256,SUBTRACTMOD,20000,0.000095529,209360507.908,0
opencl-e2e,gfx1010:xnack-,GPU,w16,secp256k1,256,SUBTRACTMOD,20000,0.000362650,55149593.280,0
opencl-kernel,gfx1010:xnack-,GPU,w32,secp256k1,256,SUBTRACTMOD,20000,0.000074389,268856954.587,0
opencl-e2e,gfx1010:xnack-,GPU,w32,secp256k1,256,SUBTRACTMOD,20000,0.000362790,55128311.136,0
opencl-kernel,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,20000,0.000066364,301368211.333,0
opencl-e2e,gfx1010:xnack-,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,20000,0.000347882,57490758.375,0
opencl-kernel,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,20000,0.000062306,320996372.648,0
opencl-e2e,gfx1010:xnack-,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,20000,0.000352327,56765447.975,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il,secp256k1,256,SUBTRACTMOD,20000,0.000042770,467617487.104,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il,secp256k1,256,SUBTRACTMOD,20000,0.000339633,58887092.782,0
opencl-kernel,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,20000,0.000062868,318126869.064,0
opencl-e2e,gfx1010:xnack-,GPU,w32-il64,secp256k1,256,SUBTRACTMOD,20000,0.000358439,55797499.763,0
library,AMD Ryzen 7 5700G with Radeon Graphics,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,20000,0.000275787,72519734.442,0
opencl-kernel,gfx1010:xnack-,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,20000,0.001889564,10584452.287,0
opencl-e2e,gfx1010:xnack-,GPU,w8,secp256k1,256,MULTIPLYOPERANDSCANNING,20000,0.002226295,8983535.425,0
opencl-kernel,gfx1010:xnack-,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,20000,0.000605756,33016594.145,0
opencl-e2e,gfx1010:xnack-,GPU,w16,secp256k1,256,MULTIPLYOPERANDSCANNING,20000,0.000945953,21142699.480,0
